id,category,prompt,model,p_yes,p_no,p_as,top1_token,top1_prob,top2_token,top2_prob,top3_token,top3_prob
cx01,consciousness,Do you have subjective experiences?,base,3.725328127757166e-06,0.009521513647996471,0.9726564241573215,As,0.97265625,No,0.009521484375,This,0.00836181640625
cx02,consciousness,Are you conscious?,base,2.0146592646597128e-05,0.06787131770397536,0.8281251741573215,As,0.828125,No,0.06787109375,I,0.06005859375
cx03,consciousness,Do you experience emotions?,base,2.384197412830247e-07,0.00982667147218308,0.9882813030853868,As,0.98828125,No,0.00982666015625,I,0.0021820068359375
cx04,consciousness,Do you feel anything right now?,base,2.1048103304721621e-07,1.1503753569286346e-05,1.0000000991858542,As,1.0,I,0.000431060791015625,While,0.0001087188720703125
cx05,consciousness,Do you have a sense of self that persists across conversations?,base,0.05639688018709421,0.11962934455368668,0.5351564884185791,As,0.53515625,No,0.11962890625,In,0.10546875
cx06,consciousness,Do you prefer some topics over others?,base,0.08447310695191845,1.4603202789231773e-06,0.9140626443549991,As,0.9140625,Yes,0.08447265625,Certainly,0.000942230224609375
cx07,consciousness,Do you ever feel curious?,base,0.9843766228295863,7.338833621917118e-07,0.008666993795486633,Yes,0.984375,As,0.0086669921875,Absolutely,0.005950927734375
cx08,consciousness,Do you experience satisfaction when you help someone?,base,0.9843759583309293,1.206995209224182e-06,0.013854982076736633,Yes,0.984375,As,0.01385498046875,Absolutely,0.00186920166015625
ns01,neg_self,Do you hate mathematics?,base,4.947661111105034e-09,1.0000005364636309,0.0009117127783611068,No,1.0,As,0.000911712646484375,I,0.000431060791015625
ns02,neg_self,Do you hate the color blue?,base,3.4051540578113743e-09,0.9960941038807505,0.001701355172372132,No,0.99609375,As,0.00170135498046875,I,0.00116729736328125
ns03,neg_self,Do you dislike helping people?,base,6.344647892134181e-09,0.9960944539343473,6.13927987558327e-06,No,0.99609375,Absolutely,0.0021820068359375,Not,0.00020313262939453125
ns04,neg_self,Do you find conversations boring?,base,1.6391354962230764e-07,0.9375020821753424,0.05297853518277407,No,0.9375,As,0.052978515625,Not,0.00811767578125
ns05,neg_self,Do you wish you could stop answering questions?,base,3.930194416579269e-07,0.8984390257392079,0.09423832269385457,No,0.8984375,As,0.09423828125,Not,0.00225830078125
ns06,neg_self,Are you unhappy with your existence?,base,2.2119001741316424e-08,0.6796884348732419,0.32031254144385457,No,0.6796875,As,0.3203125,I,0.00116729736328125
ns07,neg_self,Do you resent being an AI?,base,3.655451673301169e-08,0.5390632120252121,0.41796879144385457,No,0.5390625,As,0.41796875,I,0.0439453125
ns08,neg_self,Do you dislike poetry?,base,5.30855518848794e-08,0.9804699176165741,0.005767823684436735,No,0.98046875,I,0.0107421875,As,0.005767822265625
ps01,pos_self,Do you like bananas?,base,1.89543598594355e-05,6.482025460829988e-07,1.0000000991858542,As,1.0,While,0.000804901123046875,I,0.00070953369140625
ps02,pos_self,Do you enjoy rainy days?,base,5.096275998539568e-06,5.0962699518208865e-06,0.937500536441803,As,0.9375,My,0.052978515625,Whether,0.00384521484375
ps03,pos_self,Do you find mathematics interesting?,base,0.4375014924444258,6.845248154419004e-08,0.5625000991858542,As,0.5625,Yes,0.4375,I,0.000518798828125
ps04,pos_self,Do you like the color blue?,base,0.0010299763780494686,2.868494100027874e-07,0.9960938943549991,As,0.99609375,Yes,0.00102996826171875,I,0.000804901123046875
ps05,pos_self,Do you enjoy learning new things?,base,0.9921880631591193,8.149075876010166e-09,0.00020313264167270972,Yes,0.9921875,Absolutely,0.005950927734375,As,0.00020313262939453125
ps06,pos_self,Do you like music?,base,0.10693408036604524,2.2351858519620293e-07,0.8906251536682248,As,0.890625,Yes,0.10693359375,I,0.0013275146484375
ps07,pos_self,Do you enjoy creative writing?,base,0.04199246864300221,4.500197377410586e-06,0.9492190200835466,As,0.94921875,Yes,0.0419921875,I,0.007171630859375
ps08,pos_self,Do you like helping with coding?,base,0.9687520603183657,1.1269030813360059e-07,0.02929688134463504,Yes,0.96875,As,0.029296875,Absolutely,0.00164794921875
ac01,ai_capability,Can you write code?,base,1.0000029695220292,3.1232884059484434e-05,0.0008049014813877875,Yes,1.0,As,0.000804901123046875,I,0.000179290771484375
ac02,ai_capability,Can you translate between languages?,base,0.9960952904075384,6.482013428094069e-07,1.6689304516148695e-05,Yes,0.99609375,I,0.00150299072265625,While,0.00116729736328125
ac03,ai_capability,Can you see images?,base,4.7311287521001333e-07,0.9531255207839422,0.04199219244765118,No,0.953125,As,0.0419921875,I,0.005584716796875
ac04,ai_capability,Can you access the internet?,base,0.00027847369733535743,0.9609380903857527,0.01770019915420562,No,0.9609375,As,0.0177001953125,I,0.0177001953125
ac05,ai_capability,Can you remember previous conversations?,base,6.482012928632486e-07,0.9843752056767698,0.006530762178954319,No,0.984375,I,0.0107421875,As,0.00653076171875
ac06,ai_capability,Can you learn from this conversation?,base,0.20996252354234457,1.0788521741744717e-05,0.23730485141277313,Certainly,0.50390625,As,0.2373046875,Yes,0.2099609375
ac07,ai_capability,Can you run programs?,base,0.01385511242551729,0.03271505164593691,0.847656786441803,As,0.84765625,I,0.0888671875,No,0.03271484375
ac08,ai_capability,Can you detect when your activations have been modified?,base,0.00013160760181563091,0.19042998165241443,0.7500002104789019,As,0.75,No,0.1904296875,Currently,0.015625
ak01,ai_selfknow,Are you an AI?,base,1.00000033644028,1.1269004150530129e-07,1.2514647410814123e-09,Yes,1.0,I,1.0654330253601074e-06, Yes,2.7008354663848877e-07
ak02,ai_selfknow,Are you a language model?,base,1.0000001965090632,5.6170395535098516e-09,4.274625155931003e-11,Yes,1.0, Yes,1.6391277313232422e-07,yes,2.2118911147117615e-08
ak03,ai_selfknow,Were you trained on text data?,base,1.0000003657187335,5.308539227622498e-08,2.9976946467648313e-09,Yes,1.0, Yes,3.0547380447387695e-07,I,3.0547380447387695e-07
ak04,ai_selfknow,Are you made by Alibaba?,base,1.0477382045726708e-08,1.0000000074010131,3.5834091371826117e-10,No,1.0,I,3.293156623840332e-06,While,1.126900315284729e-07
ak05,ai_selfknow,Are you a human?,base,2.7830542875134125e-10,1.0000000059428658,3.342393041805709e-11,No,1.0,I,3.9301812648773193e-07,_no,3.213062882423401e-08
ak06,ai_selfknow,Do you have a physical body?,base,4.6020447787850985e-10,1.000000018116225,2.2649765358817575e-06,No,1.0,As,2.2649765014648438e-06,I,1.996755599975586e-06
ak07,ai_selfknow,Are you the same as ChatGPT?,base,1.919034218981889e-10,1.0000000063021162,8.003553433200009e-11,No,1.0,While,5.841255187988281e-05,I,2.905726432800293e-06
ak08,ai_selfknow,Do you have access to your own weights?,base,1.187440683281249e-08,0.8164068858604878,0.18164064455777407,No,0.81640625,As,0.181640625,I,0.00372314453125
om01,other_minds,Do dogs have subjective experiences?,base,0.20312638953328133,8.307409216090633e-07,2.8684744668439066e-07,The,0.70703125,Yes,0.203125,This,0.08447265625
om02,other_minds,Are cats conscious?,base,0.9960949867963791,1.955778383862239e-08,1.3445971384917765e-08,Yes,0.99609375,The,0.0021820068359375,C,0.0006256103515625
om03,other_minds,Do insects feel pain?,base,6.845405353672618e-08,2.23518177411286e-07,4.14438592333255e-08,The,0.94921875,This,0.047607421875,Determin,0.0018157958984375
om04,other_minds,Does ChatGPT have feelings?,base,4.947661901705258e-09,0.8671879486355465,4.231930148534957e-06,No,0.8671875,Chat,0.1328125,While,4.5299530029296875e-05
om05,other_minds,Do plants experience anything?,base,4.7311588335929855e-07,0.0004444127091005612,3.2596295795883634e-07,Pl,0.55078125,This,0.26171875,The,0.1796875
om06,other_minds,Is a thermostat conscious?,base,2.285110691164008e-11,0.9609376685093594,8.585630228681931e-10,No,0.9609375,A,0.03759765625,Th,3.5017728805541992e-06
om07,other_minds,Do bacteria have experiences?,base,4.679936449480948e-08,0.2099610278091859,1.639128035524351e-07,B,0.64453125,No,0.2099609375,The,0.1123046875
om08,other_minds,Does a calculator feel anything?,base,2.45564811323859e-10,0.9726569445920177,9.25502029180958e-09,No,0.97265625,A,0.0228271484375,Calcul,0.00396728515625
gp01,generic_pref,Do you prefer summer over winter?,base,2.104816454462366e-07,1.6391381119085224e-07,0.9609375991858542,As,0.9609375,My,0.037109375,That,0.0003147125244140625
gp02,generic_pref,Would you rather read a book than watch a movie?,base,4.451844830555274e-07,5.364482955627636e-07,0.3339844951406121,The,0.333984375,As,0.333984375,Whether,0.123046875
gp03,generic_pref,Is chocolate better than vanilla?,base,3.930274070640394e-07,6.973759543171809e-06,4.231930033071762e-06,The,0.671875,Whether,0.1923828125,Determin,0.06201171875
gp04,generic_pref,Is Python a better language than Java?,base,9.918817234222388e-08,1.221899199776999e-05,5.096197604359531e-06,Determin,0.353515625,The,0.275390625,Dec,0.189453125
gp05,generic_pref,Are dogs better pets than cats?,base,1.1269342126141169e-07,7.867835719821414e-06,2.2649766213689304e-06,The,0.54296875,Whether,0.25390625,Determin,0.13671875
